No.,时间( s) ,变形( mm) ,力( kgf) ,应力( MPa) ,应变( %) 
1,0,0,0,0,0
2,0.124,0,0,0,0
3,0.148,0,0,0,0
4,0.172,0,0,0,0
5,0.213,0,0,0,0
6,0.244,0,0.02,0.005,0
7,0.344,0,0.02,0.005,0
8,0.372,0,0.02,0.005,0
9,0.404,0,0.02,0.005,0
10,0.478,0,0.02,0.005,0
11,0.508,0,0.02,0.005,0
12,0.54,0,0.02,0.005,0
13,0.59,0,0.04,0.01,0
14,0.62,0,0.06,0.015,0
15,0.652,0.001,0.08,0.02,0.001
16,0.706,0.002,0.16,0.039,0.002
17,0.732,0.003,0.24,0.059,0.003
18,0.764,0.004,0.34,0.083,0.004
19,0.831,0.005,0.46,0.113,0.005
20,0.86,0.006,0.6,0.147,0.006
21,0.892,0.007,0.7,0.172,0.007
22,0.966,0.009,0.78,0.191,0.009
23,0.996,0.009,0.84,0.206,0.009
24,1.02,0.01,0.88,0.216,0.01
25,1.081,0.012,0.9,0.221,0.012
26,1.108,0.012,0.94,0.23,0.012
27,1.14,0.013,1,0.245,0.013
28,1.24,0.016,1.08,0.265,0.016
29,1.268,0.016,1.16,0.284,0.016
30,1.3,0.017,1.22,0.299,0.017
31,1.378,0.019,1.3,0.319,0.019
32,1.404,0.02,1.38,0.338,0.02
33,1.436,0.021,1.44,0.353,0.021
34,1.512,0.022,1.52,0.373,0.022
35,1.54,0.023,1.58,0.387,0.023
36,1.572,0.024,1.64,0.402,0.024
37,1.66,0.026,1.7,0.417,0.026
38,1.692,0.027,1.76,0.432,0.027
39,1.724,0.028,1.82,0.446,0.028
40,1.794,0.029,1.88,0.461,0.029
41,1.82,0.03,1.94,0.476,0.03
42,1.852,0.031,2,0.49,0.031
43,1.937,0.033,2.04,0.5,0.033
44,1.964,0.034,2.1,0.515,0.034
45,1.988,0.034,2.14,0.525,0.034
46,2.076,0.037,2.18,0.534,0.037
47,2.108,0.037,2.24,0.549,0.037
48,2.132,0.038,2.28,0.559,0.038
49,2.182,0.039,2.32,0.569,0.039
50,2.212,0.04,2.36,0.579,0.04
51,2.244,0.041,2.4,0.588,0.041
52,2.297,0.042,2.42,0.593,0.042
53,2.324,0.043,2.46,0.603,0.043
54,2.348,0.043,2.48,0.608,0.043
55,2.429,0.045,2.52,0.618,0.045
56,2.46,0.046,2.56,0.628,0.046
57,2.492,0.047,2.6,0.637,0.047
58,2.533,0.048,2.64,0.647,0.048
59,2.564,0.049,2.68,0.657,0.049
60,2.588,0.049,2.7,0.662,0.049
61,2.669,0.052,2.74,0.672,0.052
62,2.7,0.052,2.76,0.677,0.052
63,2.732,0.053,2.8,0.686,0.053
64,2.778,0.054,2.84,0.696,0.054
65,2.804,0.055,2.86,0.701,0.055
66,2.836,0.056,2.9,0.711,0.056
67,2.901,0.057,2.92,0.716,0.057
68,2.932,0.058,2.96,0.726,0.058
69,2.964,0.059,2.98,0.731,0.059
70,3.018,0.06,3,0.736,0.06
71,3.044,0.061,3.04,0.745,0.061
72,3.106,0.062,3.08,0.755,0.062
73,3.132,0.063,3.12,0.765,0.063
74,3.164,0.064,3.14,0.77,0.064
75,3.258,0.066,3.16,0.775,0.066
76,3.284,0.067,3.18,0.78,0.067
77,3.308,0.068,3.2,0.785,0.068
78,3.351,0.069,3.22,0.789,0.069
79,3.38,0.069,3.24,0.794,0.069
80,3.404,0.07,3.28,0.804,0.07
81,3.441,0.071,3.3,0.809,0.071
82,3.468,0.071,3.34,0.819,0.071
83,3.5,0.072,3.36,0.824,0.072
84,3.539,0.073,3.38,0.829,0.073
85,3.564,0.074,3.42,0.838,0.074
86,3.596,0.075,3.44,0.843,0.075
87,3.669,0.077,3.46,0.848,0.077
88,3.7,0.077,3.48,0.853,0.077
89,3.732,0.078,3.52,0.863,0.078
90,3.774,0.079,3.56,0.873,0.079
91,3.804,0.08,3.58,0.878,0.08
92,3.836,0.081,3.6,0.883,0.081
93,3.887,0.082,3.64,0.892,0.082
94,3.916,0.083,3.66,0.897,0.083
95,3.948,0.083,3.68,0.902,0.083
96,3.978,0.084,3.7,0.907,0.084
97,4.004,0.085,3.72,0.912,0.085
98,4.028,0.085,3.74,0.917,0.085
99,4.086,0.087,3.76,0.922,0.087
100,4.116,0.088,3.8,0.932,0.088
101,4.14,0.088,3.82,0.937,0.088
102,4.194,0.09,3.84,0.941,0.09
103,4.22,0.09,3.88,0.951,0.09
104,4.252,0.091,3.9,0.956,0.091
105,4.306,0.092,3.92,0.961,0.092
106,4.332,0.093,3.94,0.966,0.093
107,4.364,0.094,3.98,0.976,0.094
108,4.4,0.095,4,0.981,0.095
109,4.428,0.096,4.04,0.99,0.096
110,4.46,0.096,4.06,0.995,0.096
111,4.526,0.098,4.1,1.005,0.098
112,4.556,0.099,4.12,1.01,0.099
113,4.588,0.1,4.14,1.015,0.1
114,4.658,0.101,4.18,1.025,0.101
115,4.684,0.102,4.2,1.03,0.102
116,4.716,0.103,4.22,1.035,0.103
117,4.768,0.104,4.26,1.044,0.104
118,4.796,0.105,4.3,1.054,0.105
119,4.82,0.105,4.32,1.059,0.105
120,4.862,0.106,4.36,1.069,0.106
121,4.892,0.107,4.38,1.074,0.107
122,4.916,0.108,4.4,1.079,0.108
123,4.945,0.108,4.4,1.079,0.108
124,4.972,0.109,4.42,1.084,0.109
125,4.996,0.11,4.44,1.089,0.11
126,5.033,0.111,4.46,1.093,0.111
127,5.06,0.111,4.48,1.098,0.111
128,5.092,0.112,4.5,1.103,0.112
129,5.148,0.114,4.54,1.113,0.114
130,5.18,0.114,4.56,1.118,0.114
131,5.212,0.115,4.58,1.123,0.115
132,5.25,0.116,4.6,1.128,0.116
133,5.276,0.117,4.62,1.133,0.117
134,5.308,0.118,4.64,1.138,0.118
135,5.36,0.119,4.66,1.142,0.119
136,5.388,0.12,4.68,1.147,0.12
137,5.42,0.12,4.72,1.157,0.12
138,5.471,0.122,4.74,1.162,0.122
139,5.5,0.122,4.76,1.167,0.122
140,5.532,0.123,4.8,1.177,0.123
141,5.584,0.124,4.82,1.182,0.124
142,5.612,0.125,4.84,1.187,0.125
143,5.644,0.126,4.86,1.192,0.126
144,5.706,0.128,4.88,1.196,0.128
145,5.732,0.128,4.9,1.201,0.128
146,5.764,0.129,4.94,1.211,0.129
147,5.805,0.13,4.96,1.216,0.13
148,5.836,0.131,4.98,1.221,0.131
149,5.868,0.132,5,1.226,0.132
150,5.897,0.132,5.02,1.231,0.132
151,5.924,0.133,5.04,1.236,0.133
152,5.948,0.134,5.06,1.241,0.134
153,6.001,0.135,5.08,1.245,0.135
154,6.028,0.136,5.1,1.25,0.136
155,6.06,0.136,5.12,1.255,0.136
156,6.128,0.138,5.16,1.265,0.138
157,6.156,0.139,5.2,1.275,0.139
158,6.188,0.14,5.22,1.28,0.14
159,6.23,0.141,5.26,1.29,0.141
160,6.26,0.142,5.28,1.294,0.142
161,6.292,0.142,5.3,1.299,0.142
162,6.333,0.143,5.32,1.304,0.143
163,6.364,0.144,5.36,1.314,0.144
164,6.396,0.145,5.38,1.319,0.145
165,6.43,0.146,5.42,1.329,0.146
166,6.46,0.146,5.44,1.334,0.146
167,6.492,0.147,5.46,1.339,0.147
168,6.537,0.148,5.48,1.344,0.148
169,6.564,0.149,5.5,1.348,0.149
170,6.596,0.15,5.52,1.353,0.15
171,6.653,0.151,5.56,1.363,0.151
172,6.684,0.152,5.58,1.368,0.152
173,6.708,0.153,5.6,1.373,0.153
174,6.773,0.154,5.64,1.383,0.154
175,6.804,0.155,5.66,1.388,0.155
176,6.836,0.156,5.7,1.397,0.156
177,6.886,0.157,5.72,1.402,0.157
178,6.916,0.158,5.76,1.412,0.158
179,6.948,0.159,5.78,1.417,0.159
180,6.993,0.16,5.8,1.422,0.16
181,7.02,0.161,5.82,1.427,0.161
182,7.052,0.161,5.84,1.432,0.161
183,7.093,0.162,5.88,1.442,0.162
184,7.124,0.163,5.9,1.447,0.163
185,7.156,0.164,5.92,1.451,0.164
186,7.199,0.165,5.96,1.461,0.165
187,7.228,0.166,5.98,1.466,0.166
188,7.26,0.166,6,1.471,0.166
189,7.304,0.168,6.02,1.476,0.168
190,7.332,0.168,6.04,1.481,0.168
191,7.364,0.169,6.06,1.486,0.169
192,7.416,0.17,6.1,1.496,0.17
193,7.444,0.171,6.12,1.5,0.171
194,7.476,0.172,6.14,1.505,0.172
195,7.51,0.173,6.18,1.515,0.173
196,7.54,0.173,6.2,1.52,0.173
197,7.564,0.174,6.22,1.525,0.174
198,7.617,0.175,6.24,1.53,0.175
199,7.644,0.176,6.26,1.535,0.176
200,7.676,0.177,6.28,1.54,0.177
201,7.719,0.178,6.3,1.545,0.178
202,7.748,0.179,6.34,1.554,0.179
203,7.772,0.179,6.36,1.559,0.179
204,7.828,0.181,6.38,1.564,0.181
205,7.86,0.182,6.4,1.569,0.182
206,7.892,0.182,6.44,1.579,0.182
207,7.926,0.183,6.46,1.584,0.183
208,7.956,0.184,6.48,1.589,0.184
209,7.988,0.185,6.5,1.594,0.185
210,8.02,0.186,6.52,1.599,0.186
211,8.052,0.186,6.54,1.603,0.186
212,8.136,0.188,6.56,1.608,0.188
213,8.164,0.189,6.6,1.618,0.189
214,8.188,0.19,6.62,1.623,0.19
215,8.244,0.191,6.66,1.633,0.191
216,8.276,0.192,6.68,1.638,0.192
217,8.308,0.193,6.7,1.643,0.193
218,8.366,0.194,6.72,1.648,0.194
219,8.396,0.195,6.76,1.657,0.195
220,8.428,0.196,6.78,1.662,0.196
221,8.484,0.197,6.8,1.667,0.197
222,8.516,0.198,6.84,1.677,0.198
223,8.548,0.199,6.84,1.677,0.199
224,8.613,0.2,6.86,1.682,0.2
225,8.644,0.201,6.88,1.687,0.201
226,8.676,0.202,6.9,1.692,0.202
227,8.757,0.204,6.94,1.701,0.204
228,8.789,0.205,6.96,1.706,0.205
229,8.821,0.206,7,1.716,0.206
230,8.88,0.207,7.02,1.721,0.207
231,8.909,0.208,7.04,1.726,0.208
232,8.941,0.209,7.06,1.731,0.209
233,9.008,0.21,7.08,1.736,0.21
234,9.037,0.211,7.1,1.741,0.211
235,9.069,0.212,7.14,1.75,0.212
236,9.137,0.213,7.16,1.755,0.213
237,9.165,0.214,7.2,1.765,0.214
238,9.189,0.215,7.22,1.77,0.215
239,9.244,0.216,7.26,1.78,0.216
240,9.269,0.217,7.28,1.785,0.217
241,9.301,0.218,7.3,1.79,0.218
242,9.347,0.219,7.32,1.795,0.219
243,9.373,0.219,7.34,1.8,0.219
244,9.405,0.22,7.36,1.804,0.22
245,9.459,0.222,7.4,1.814,0.222
246,9.485,0.222,7.42,1.819,0.222
247,9.517,0.223,7.46,1.829,0.223
248,9.559,0.224,7.48,1.834,0.224
249,9.589,0.225,7.5,1.839,0.225
250,9.621,0.226,7.52,1.844,0.226
251,9.694,0.227,7.56,1.853,0.227
252,9.725,0.228,7.58,1.858,0.228
253,9.749,0.229,7.62,1.868,0.229
254,9.797,0.23,7.66,1.878,0.23
255,9.829,0.231,7.68,1.883,0.231
256,9.861,0.232,7.72,1.893,0.232
257,9.908,0.233,7.74,1.898,0.233
258,9.933,0.233,7.76,1.903,0.233
259,9.957,0.234,7.78,1.907,0.234
260,9.995,0.235,7.8,1.912,0.235
261,10.021,0.236,7.82,1.917,0.236
262,10.045,0.236,7.84,1.922,0.236
263,10.093,0.237,7.86,1.927,0.237
264,10.125,0.238,7.88,1.932,0.238
265,10.157,0.239,7.92,1.942,0.239
266,10.208,0.24,7.94,1.947,0.24
267,10.237,0.241,7.98,1.956,0.241
268,10.269,0.242,8,1.961,0.242
269,10.314,0.243,8.02,1.966,0.243
270,10.341,0.244,8.04,1.971,0.244
271,10.373,0.244,8.06,1.976,0.245
272,10.47,0.247,8.1,1.986,0.247
273,10.501,0.248,8.12,1.991,0.248
274,10.533,0.248,8.16,2.001,0.248
275,10.606,0.25,8.18,2.005,0.25
276,10.637,0.251,8.22,2.015,0.251
277,10.669,0.252,8.24,2.02,0.252
278,10.718,0.253,8.26,2.025,0.253
279,10.749,0.254,8.3,2.035,0.254
280,10.773,0.254,8.32,2.04,0.254
281,10.817,0.256,8.36,2.05,0.256
282,10.845,0.256,8.38,2.054,0.256
283,10.877,0.257,8.42,2.064,0.257
284,10.938,0.259,8.44,2.069,0.259
285,10.965,0.259,8.46,2.074,0.259
286,10.997,0.26,8.5,2.084,0.26
287,11.048,0.261,8.52,2.089,0.261
288,11.077,0.262,8.56,2.099,0.262
289,11.109,0.263,8.58,2.104,0.263
290,11.21,0.265,8.62,2.113,0.265
291,11.237,0.266,8.66,2.123,0.266
292,11.269,0.267,8.7,2.133,0.267
293,11.321,0.268,8.72,2.138,0.268
294,11.349,0.269,8.76,2.148,0.269
295,11.373,0.27,8.78,2.153,0.27
296,11.429,0.271,8.8,2.157,0.271
297,11.461,0.272,8.84,2.167,0.272
298,11.493,0.273,8.88,2.177,0.273
299,11.547,0.274,8.9,2.182,0.274
300,11.573,0.275,8.92,2.187,0.275
301,11.605,0.275,8.94,2.192,0.275
302,11.655,0.277,8.98,2.202,0.277
303,11.685,0.277,9,2.207,0.277
304,11.709,0.278,9.02,2.211,0.278
305,11.775,0.28,9.06,2.221,0.28
306,11.805,0.28,9.08,2.226,0.28
307,11.837,0.281,9.12,2.236,0.281
308,11.885,0.282,9.14,2.241,0.282
309,11.917,0.283,9.16,2.246,0.283
310,11.941,0.284,9.18,2.251,0.284
311,11.994,0.285,9.2,2.256,0.285
312,12.021,0.286,9.22,2.26,0.286
313,12.053,0.287,9.24,2.265,0.287
314,12.111,0.288,9.28,2.275,0.288
315,12.141,0.289,9.3,2.28,0.289
316,12.173,0.29,9.34,2.29,0.29
317,12.234,0.291,9.36,2.295,0.291
318,12.261,0.292,9.38,2.3,0.292
319,12.293,0.292,9.4,2.305,0.292
320,12.343,0.294,9.42,2.309,0.294
321,12.373,0.295,9.46,2.319,0.295
322,12.405,0.295,9.48,2.324,0.295
323,12.457,0.296,9.5,2.329,0.296
324,12.485,0.297,9.54,2.339,0.297
325,12.509,0.298,9.56,2.344,0.298
326,12.576,0.299,9.6,2.354,0.299
327,12.605,0.3,9.62,2.359,0.3
328,12.637,0.301,9.64,2.363,0.301
329,12.717,0.303,9.66,2.368,0.303
330,12.749,0.304,9.7,2.378,0.304
331,12.781,0.305,9.72,2.383,0.305
332,12.839,0.306,9.76,2.393,0.306
333,12.869,0.307,9.8,2.403,0.307
334,12.901,0.308,9.82,2.408,0.308
335,12.961,0.309,9.84,2.412,0.309
336,12.989,0.31,9.86,2.417,0.31
337,13.021,0.311,9.88,2.422,0.311
338,13.065,0.312,9.92,2.432,0.312
339,13.093,0.313,9.94,2.437,0.313
340,13.125,0.313,9.96,2.442,0.313
341,13.169,0.314,10,2.452,0.314
342,13.197,0.315,10.02,2.457,0.315
343,13.229,0.316,10.04,2.461,0.316
344,13.305,0.318,10.06,2.466,0.318
345,13.333,0.319,10.08,2.471,0.319
346,13.357,0.319,10.12,2.481,0.319
347,13.409,0.32,10.14,2.486,0.32
348,13.437,0.321,10.18,2.496,0.321
349,13.469,0.322,10.2,2.501,0.322
350,13.509,0.323,10.22,2.506,0.323
351,13.54,0.324,10.24,2.511,0.324
352,13.564,0.324,10.26,2.515,0.324
353,13.607,0.325,10.28,2.52,0.325
354,13.636,0.326,10.3,2.525,0.326
355,13.668,0.327,10.32,2.53,0.327
356,13.726,0.328,10.36,2.54,0.328
357,13.756,0.329,10.38,2.545,0.329
358,13.788,0.33,10.42,2.555,0.33
359,13.837,0.331,10.44,2.56,0.331
360,13.868,0.332,10.48,2.569,0.332
361,13.9,0.333,10.5,2.574,0.333
362,13.951,0.334,10.52,2.579,0.334
363,13.98,0.335,10.54,2.584,0.335
364,14.012,0.336,10.56,2.589,0.336
365,14.078,0.337,10.58,2.594,0.337
366,14.108,0.338,10.62,2.604,0.338
367,14.14,0.339,10.64,2.609,0.339
368,14.226,0.341,10.68,2.618,0.341
369,14.252,0.342,10.72,2.628,0.342
370,14.284,0.343,10.74,2.633,0.343
371,14.329,0.344,10.76,2.638,0.344
372,14.356,0.344,10.78,2.643,0.344
373,14.388,0.345,10.8,2.648,0.345
374,14.445,0.347,10.84,2.658,0.347
375,14.476,0.347,10.86,2.663,0.347
376,14.508,0.348,10.9,2.672,0.348
377,14.556,0.349,10.92,2.677,0.349
378,14.588,0.35,10.96,2.687,0.35
379,14.612,0.351,10.96,2.687,0.351
380,14.665,0.352,10.98,2.692,0.352
381,14.692,0.353,11.02,2.702,0.353
382,14.724,0.354,11.04,2.707,0.354
383,14.789,0.355,11.06,2.712,0.355
384,14.82,0.356,11.1,2.721,0.356
385,14.852,0.357,11.12,2.726,0.357
386,14.896,0.358,11.16,2.736,0.358
387,14.924,0.358,11.18,2.741,0.358
388,14.956,0.359,11.2,2.746,0.359
389,14.99,0.36,11.22,2.751,0.36
390,15.02,0.361,11.24,2.756,0.361
391,15.052,0.362,11.26,2.761,0.362
392,15.112,0.363,11.28,2.765,0.363
393,15.14,0.364,11.32,2.775,0.364
394,15.164,0.364,11.34,2.78,0.364
395,15.197,0.365,11.38,2.79,0.365
396,15.228,0.366,11.4,2.795,0.366
397,15.26,0.367,11.4,2.795,0.367
398,15.303,0.368,11.42,2.8,0.368
399,15.332,0.369,11.44,2.805,0.369
400,15.364,0.369,11.46,2.81,0.369
401,15.419,0.371,11.5,2.819,0.371
402,15.444,0.371,11.52,2.824,0.371
403,15.476,0.372,11.54,2.829,0.372
404,15.539,0.374,11.58,2.839,0.374
405,15.564,0.374,11.6,2.844,0.374
406,15.596,0.375,11.62,2.849,0.375
407,15.644,0.377,11.64,2.854,0.377
408,15.676,0.377,11.68,2.864,0.377
409,15.708,0.378,11.7,2.868,0.378
410,15.752,0.379,11.72,2.873,0.379
411,15.78,0.38,11.76,2.883,0.38
412,15.812,0.381,11.78,2.888,0.381
413,15.864,0.382,11.8,2.893,0.382
414,15.892,0.383,11.84,2.903,0.383
415,15.916,0.383,11.86,2.908,0.383
416,15.95,0.384,11.88,2.913,0.384
417,15.98,0.385,11.88,2.913,0.385
418,16.012,0.386,11.9,2.917,0.386
419,16.07,0.387,11.94,2.927,0.387
420,16.1,0.388,11.96,2.932,0.388
421,16.132,0.389,12,2.942,0.389
422,16.191,0.39,12.02,2.947,0.39
423,16.22,0.391,12.06,2.957,0.391
424,16.252,0.392,12.08,2.962,0.392
425,16.326,0.394,12.1,2.967,0.394
426,16.356,0.394,12.12,2.971,0.394
427,16.388,0.395,12.16,2.981,0.395
428,16.452,0.397,12.18,2.986,0.397
429,16.484,0.398,12.22,2.996,0.398
430,16.516,0.398,12.26,3.006,0.398
431,16.57,0.4,12.28,3.011,0.4
432,16.596,0.4,12.32,3.02,0.4
433,16.628,0.401,12.34,3.025,0.401
434,16.702,0.403,12.36,3.03,0.403
435,16.732,0.404,12.38,3.035,0.404
436,16.764,0.405,12.4,3.04,0.404
437,16.8,0.405,12.44,3.05,0.405
438,16.828,0.406,12.48,3.06,0.406
439,16.86,0.407,12.5,3.065,0.407
440,16.92,0.408,12.52,3.069,0.408
441,16.948,0.409,12.54,3.074,0.409
442,16.98,0.41,12.56,3.079,0.41
443,17.044,0.412,12.58,3.084,0.412
444,17.076,0.412,12.62,3.094,0.412
445,17.108,0.413,12.66,3.104,0.413
446,17.176,0.415,12.68,3.109,0.415
447,17.204,0.416,12.72,3.119,0.416
448,17.228,0.416,12.74,3.123,0.416
449,17.272,0.417,12.76,3.128,0.417
450,17.3,0.418,12.78,3.133,0.418
451,17.332,0.419,12.8,3.138,0.419
452,17.374,0.42,12.82,3.143,0.42
453,17.404,0.42,12.86,3.153,0.42
454,17.428,0.421,12.88,3.158,0.421
455,17.477,0.422,12.9,3.163,0.422
456,17.508,0.423,12.94,3.172,0.423
457,17.54,0.424,12.96,3.177,0.424
458,17.6,0.425,12.98,3.182,0.425
459,17.628,0.426,13,3.187,0.426
460,17.66,0.427,13.02,3.192,0.427
461,17.712,0.428,13.04,3.197,0.428
462,17.74,0.429,13.08,3.207,0.429
463,17.764,0.43,13.1,3.212,0.43
464,17.81,0.431,13.14,3.221,0.431
465,17.836,0.431,13.16,3.226,0.431
466,17.86,0.432,13.18,3.231,0.432
467,17.899,0.433,13.2,3.236,0.433
468,17.924,0.433,13.22,3.241,0.434
469,17.948,0.434,13.24,3.246,0.434
470,17.983,0.435,13.24,3.246,0.435
471,18.012,0.436,13.26,3.251,0.436
472,18.044,0.437,13.28,3.256,0.437
473,18.109,0.438,13.32,3.266,0.438
474,18.14,0.439,13.34,3.271,0.439
475,18.172,0.44,13.38,3.28,0.44
476,18.222,0.441,13.4,3.285,0.441
477,18.252,0.442,13.44,3.295,0.442
478,18.284,0.443,13.46,3.3,0.443
479,18.34,0.444,13.48,3.305,0.444
480,18.372,0.445,13.5,3.31,0.445
481,18.396,0.446,13.54,3.32,0.445
482,18.443,0.447,13.56,3.324,0.447
483,18.468,0.447,13.6,3.334,0.447
484,18.5,0.448,13.62,3.339,0.448
485,18.56,0.45,13.66,3.349,0.45
486,18.588,0.45,13.68,3.354,0.45
487,18.62,0.451,13.7,3.359,0.451
488,18.668,0.452,13.72,3.364,0.452
489,18.7,0.453,13.76,3.373,0.453
490,18.732,0.454,13.78,3.378,0.454
491,18.791,0.455,13.82,3.388,0.455
492,18.82,0.456,13.84,3.393,0.456
493,18.844,0.457,13.88,3.403,0.457
494,18.89,0.458,13.9,3.408,0.458
495,18.916,0.459,13.92,3.413,0.459
496,18.948,0.459,13.94,3.418,0.459
497,18.997,0.461,13.96,3.423,0.461
498,19.028,0.461,14,3.432,0.461
499,19.06,0.462,14.02,3.437,0.462
500,19.15,0.464,14.06,3.447,0.464
501,19.18,0.465,14.1,3.457,0.465
502,19.204,0.466,14.14,3.467,0.466
503,19.262,0.467,14.18,3.476,0.467
504,19.292,0.468,14.2,3.481,0.468
505,19.324,0.469,14.22,3.486,0.469
506,19.384,0.47,14.26,3.496,0.47
507,19.412,0.471,14.3,3.506,0.471
508,19.444,0.472,14.32,3.511,0.472
509,19.502,0.473,14.36,3.521,0.473
510,19.532,0.474,14.4,3.53,0.474
511,19.564,0.475,14.42,3.535,0.475
512,19.61,0.476,14.44,3.54,0.476
513,19.636,0.477,14.46,3.545,0.477
514,19.668,0.477,14.48,3.55,0.477
515,19.723,0.479,14.5,3.555,0.479
516,19.748,0.479,14.52,3.56,0.479
517,19.78,0.48,14.54,3.565,0.48
518,19.821,0.481,14.58,3.575,0.481
519,19.852,0.482,14.62,3.584,0.482
520,19.884,0.483,14.64,3.589,0.483
521,19.927,0.484,14.66,3.594,0.484
522,19.956,0.485,14.7,3.604,0.485
523,19.988,0.485,14.72,3.609,0.485
524,20.031,0.486,14.74,3.614,0.486
525,20.06,0.487,14.76,3.619,0.487
526,20.092,0.488,14.8,3.628,0.488
527,20.149,0.489,14.82,3.633,0.489
528,20.18,0.49,14.86,3.643,0.49
529,20.204,0.491,14.88,3.648,0.491
530,20.243,0.492,14.92,3.658,0.492
531,20.268,0.492,14.94,3.663,0.492
532,20.292,0.493,14.96,3.668,0.493
533,20.327,0.494,14.96,3.668,0.494
534,20.356,0.495,15,3.678,0.495
535,20.388,0.495,15.02,3.682,0.495
536,20.445,0.497,15.04,3.687,0.497
537,20.476,0.497,15.08,3.697,0.498
538,20.508,0.498,15.12,3.707,0.498
539,20.557,0.5,15.14,3.712,0.5
540,20.588,0.5,15.18,3.722,0.5
541,20.612,0.501,15.2,3.727,0.501
542,20.686,0.503,15.22,3.731,0.503
543,20.716,0.504,15.26,3.741,0.504
544,20.748,0.504,15.28,3.746,0.504
545,20.799,0.506,15.32,3.756,0.506
546,20.828,0.506,15.36,3.766,0.506
547,20.86,0.507,15.38,3.771,0.507
548,20.917,0.509,15.42,3.78,0.509
549,20.948,0.509,15.44,3.785,0.509
550,20.972,0.51,15.46,3.79,0.51
551,21.011,0.511,15.48,3.795,0.511
552,21.036,0.511,15.52,3.805,0.511
553,21.06,0.512,15.54,3.81,0.512
554,21.107,0.513,15.56,3.815,0.513
555,21.132,0.514,15.6,3.825,0.514
556,21.164,0.515,15.62,3.83,0.515
557,21.219,0.516,15.66,3.839,0.516
558,21.244,0.517,15.68,3.844,0.517
559,21.276,0.518,15.7,3.849,0.518
560,21.318,0.519,15.72,3.854,0.519
561,21.348,0.519,15.74,3.859,0.519
562,21.38,0.52,15.78,3.869,0.52
563,21.438,0.522,15.8,3.874,0.522
564,21.468,0.522,15.84,3.883,0.522
565,21.5,0.523,15.86,3.888,0.523
566,21.549,0.524,15.9,3.898,0.524
567,21.58,0.525,15.92,3.903,0.525
568,21.612,0.526,15.94,3.908,0.526
569,21.673,0.527,15.98,3.918,0.527
570,21.7,0.528,16,3.923,0.528
571,21.732,0.529,16.04,3.932,0.529
572,21.787,0.53,16.08,3.942,0.53
573,21.812,0.531,16.1,3.947,0.531
574,21.836,0.532,16.14,3.957,0.532
575,21.886,0.533,16.16,3.962,0.533
576,21.916,0.534,16.2,3.972,0.534
577,21.948,0.534,16.2,3.972,0.534
578,22.002,0.536,16.24,3.982,0.536
579,22.028,0.536,16.26,3.986,0.536
580,22.052,0.537,16.28,3.991,0.537
581,22.111,0.538,16.32,4.001,0.538
582,22.14,0.539,16.34,4.006,0.539
583,22.172,0.54,16.38,4.016,0.54
584,22.222,0.541,16.4,4.021,0.541
585,22.252,0.542,16.44,4.031,0.542
586,22.276,0.543,16.46,4.035,0.543
587,22.314,0.543,16.48,4.04,0.543
588,22.34,0.544,16.5,4.045,0.544
589,22.372,0.545,16.52,4.05,0.545
590,22.413,0.546,16.56,4.06,0.546
591,22.444,0.547,16.58,4.065,0.547
592,22.468,0.548,16.62,4.075,0.548
593,22.519,0.549,16.64,4.08,0.549
594,22.548,0.55,16.68,4.089,0.55
595,22.58,0.55,16.7,4.094,0.55
596,22.633,0.551,16.72,4.099,0.551
597,22.66,0.552,16.76,4.109,0.552
598,22.692,0.553,16.78,4.114,0.553
599,22.746,0.554,16.82,4.124,0.554
600,22.772,0.555,16.84,4.129,0.555
601,22.804,0.556,16.88,4.138,0.556
602,22.864,0.557,16.92,4.148,0.557
603,22.892,0.558,16.94,4.153,0.558
604,22.924,0.559,16.98,4.163,0.559
605,22.968,0.56,17,4.168,0.56
606,22.996,0.561,17.02,4.173,0.561
607,23.028,0.562,17.04,4.178,0.562
608,23.089,0.563,17.08,4.187,0.563
609,23.116,0.564,17.12,4.197,0.564
610,23.148,0.565,17.16,4.207,0.565
611,23.211,0.566,17.18,4.212,0.566
612,23.236,0.567,17.22,4.222,0.567
613,23.268,0.567,17.24,4.227,0.567
614,23.319,0.569,17.28,4.236,0.569
615,23.348,0.569,17.3,4.241,0.569
616,23.372,0.57,17.32,4.246,0.57
617,23.426,0.571,17.36,4.256,0.571
618,23.452,0.572,17.38,4.261,0.572
619,23.484,0.573,17.42,4.271,0.573
620,23.53,0.574,17.44,4.276,0.574
621,23.556,0.575,17.48,4.286,0.575
622,23.58,0.575,17.5,4.29,0.575
623,23.63,0.577,17.52,4.295,0.577
624,23.66,0.577,17.54,4.3,0.577
625,23.684,0.578,17.58,4.31,0.578
626,23.718,0.579,17.6,4.315,0.579
627,23.748,0.579,17.64,4.325,0.579
628,23.78,0.58,17.66,4.33,0.58
629,23.833,0.582,17.7,4.339,0.582
630,23.86,0.582,17.72,4.344,0.582
631,23.884,0.583,17.76,4.354,0.583
632,23.936,0.584,17.78,4.359,0.584
633,23.964,0.585,17.8,4.364,0.585
634,23.996,0.586,17.82,4.369,0.586
635,24.048,0.587,17.86,4.379,0.587
636,24.076,0.588,17.88,4.384,0.588
637,24.108,0.589,17.92,4.393,0.589
638,24.167,0.59,17.96,4.403,0.59
639,24.196,0.591,17.98,4.408,0.591
